"","term","estimate","std.error","statistic","p.value"
"251","industryInformation, culture and recreation:year2014",2.52499999999986,1.42155962855509,1.77621814047037,0.0758240568506469
"252","industryManufacturing:year2014",3.49999999999988,1.42155962855509,2.46208455114709,0.0138832632277207
"253","industryOther services (except public administration):year2014",2.68499999999986,1.42155962855508,1.88877057709424,0.0590434564859304
"254","industryProfessional, scientific and technical services:year2014",6.92199999999985,1.42155962855509,4.86929978944012,1.1930369573367e-06
"255","industryTransportation and warehousing:year2014",2.69699999999986,1.42155962855509,1.89721200984102,0.0579202943215275
"256","industryWholesale and retail trade:year2014",1.31499999999987,1.42155962855509,0.925040338502348,0.355038235764731
"257","industryAgriculture 5:year2015",1.18699999999985,1.42155962855509,0.834998389203237,0.403802003375078
"258","industryBusiness, building and other support services 8:year2015",2.17799999999986,1.42155962855509,1.53212004354235,0.125625052327833
"259","industryConstruction:year2015",5.30299999999982,1.42155962855509,3.73040982135229,0.000195615748353563
"260","industryEducational services:year2015",5.15899999999991,1.42155962855509,3.62911262839087,0.000290358485640007
"261","industryFinance, insurance, real estate, rental and leasing:year2015",5.36099999999988,1.42155962855509,3.77121007962849,0.000166396425585818
"262","industryForestry, fishing, mining, quarrying, oil and gas 6 7:year2015",7.4479999999999,1.42155962855509,5.23931592484113,1.75258121756765e-07
"263","industryHealth care and social assistance:year2015",4.55599999999986,1.42155962855509,3.20493063286463,0.00136873822625104
"264","industryInformation, culture and recreation:year2015",2.61899999999986,1.42155962855509,1.84234269698689,0.065548733399387
"265","industryManufacturing:year2015",3.49399999999986,1.42155962855509,2.45786383477368,0.0140470702582903
"266","industryOther services (except public administration):year2015",3.36099999999986,1.42155962855509,2.36430462183009,0.0181434181346226
"267","industryProfessional, scientific and technical services:year2015",7.48399999999985,1.42155962855509,5.26464022308146,1.52979728369749e-07
"268","industryTransportation and warehousing:year2015",3.17899999999985,1.42155962855509,2.23627622517043,0.0254255459406336
"269","industryWholesale and retail trade:year2015",1.44499999999985,1.42155962855509,1.01648919325923,0.309499292511799
